COUNTY NAME,AI MALE VOTERS,AI FEMALE VOTERS,AI UNKNOWN VOTERS,AP MALE VOTERS,AP FEMALE VOTERS,AP UNKNOWN VOTERS,BH MALE VOTERS,BH FEMALE VOTERS,BH UNKNOWN VOTERS,HP MALE VOTERS,HP FEMALE VOTERS,HP UNKNOWN VOTERS,WH MALE VOTERS,WH FEMALE VOTERS,WH UNKNOWN VOTERS,OT MALE VOTERS,OT FEMALE VOTERS,OT UNKNOWN VOTERS,UK MALE VOTERS,UK FEMALE VOTERS,UK UNKNOWN VOTERS,TOTAL VOTERS,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME,POVERTY RATE
COWETA,73,65,0,518,683,2,6312,8778,27,1186,1528,7,33095,36480,107,605,696,7,6166,5869,58,102262,26161,61550,68469,10.2
CRAWFORD,13,10,0,9,16,0,729,876,4,33,47,0,3071,3163,2,38,39,0,275,208,3,8536,20692,37062,48623,18.5
CRISP,8,5,0,40,39,0,2029,3050,7,41,56,0,3117,3578,4,40,46,0,245,243,12,12560,17187,29960,41616,27.4
DADE,18,13,0,21,29,0,29,18,0,45,42,0,5349,4910,9,23,25,2,637,509,3,11682,20168,39760,48881,13.6
DAWSON,24,31,0,62,74,0,73,44,0,180,208,0,9321,9781,9,96,80,0,804,760,10,21557,25557,51128,60236,8.7
DECATUR,9,26,0,27,36,1,2561,3709,4,122,159,1,4265,4888,7,51,48,0,439,358,15,16726,17833,33297,44322,23.2
DEKALB,595,589,0,7974,9200,14,124973,155931,79,7021,8046,6,80570,89125,76,7112,8977,20,23708,23682,104,547802,28412,51349,60718,14.3
DODGE,6,5,0,15,23,0,1193,1686,0,37,34,0,3764,4094,4,30,34,0,277,260,2,11464,16288,33580,46460,26.5
DOOLY,0,6,0,11,10,0,1167,1604,1,39,60,0,1347,1475,0,18,15,0,111,100,2,5966,14871,31038,39622,29.1
DOUGHERTY,48,33,0,147,140,1,16648,22762,317,259,239,4,7256,8405,37,264,303,9,2344,2099,87,61402,19210,32435,39951,29.5
DOUGLAS,133,125,0,488,587,3,19900,25997,82,1829,2123,5,18164,20058,40,1002,1357,7,4599,5047,67,101613,24515,55852,62977,12.6
EARLY,2,5,0,9,12,0,1473,2067,5,9,14,0,1658,1796,2,9,19,0,141,118,1,7340,16330,26928,40238,26.5
ECHOLS,8,6,0,1,2,0,42,60,0,89,83,0,846,915,1,13,8,0,55,41,0,2170,14201,32390,33664,24.4
EFFINGHAM,68,61,0,123,183,1,2454,3016,7,461,491,4,15986,16904,40,232,248,2,2018,2045,28,44372,23465,56903,63277,8.3
ELBERT,3,13,0,33,39,1,1265,1816,1,70,74,0,3872,4385,4,39,54,2,344,299,16,12330,17100,30543,35550,18.5
EMANUEL,4,8,0,22,25,0,1601,2357,4,54,68,0,3939,4465,6,37,43,0,658,550,3,13844,16076,30205,36402,25.1
